NO,T.1,T.10,T.13,T.14,T.15,ปตร.พลเทพ,ปตร.ท่าโบสถ์,ปตร.ชลมาร์คพิจารณ์,ปตร.โพธิ์พระยา
1,2.042,5.759,2.704,1.722,3.03,18.429,13.002,10.083,7.128
2,2.044,5.762,3.2,1.767,3.028,18.387,13.0585,10.018,7.442
3,2.046,5.765,3.668,1.812,3.027,18.345,13.115,9.953,7.756
4,2.072,5.779,2.978,1.87,3.02,18.303,13.5125,9.98,7.9275
5,2.098,1.861,1.256,1.927,3.014,18.261,13.91,10.007,8.099
6,2.165,0.764,1.235,1.95,2.997,18.2165,14.3495,10.02,8.166
7,2.233,-0.04,0.749,1.973,3.53,18.172,14.789,10.033,8.233
8,2.1,-0.24,0.723,1.995,-1.633,18.1415,14.86,9.975,8.1725
9,1.967,-1.44,-0.069,2.017,-2.913,18.111,14.931,9.917,8.112
10,1.996,-2.136,-0.293,1.813,-3.863,18.048,14.957,9.70775,7.8305
11,-0.155,-2.24,-0.512,-0.419,-4.813,17.985,14.983,9.4985,7.549
12,-0.754,-2.19,-0.615,-0.698,-5.338,17.929,14.9995,9.28925,7.4655
13,-2.223,-2.24,-0.441,-3.768,-5.863,13.673,15.016,9.08,7.382
14,-2.723,-1.64,-1.322,-6.528,-5.438,10.912,12.789,5.656,7.656
15,-4.333,-0.59,-2.815,-7.488,-5.013,9.725,10.562,3.353,5.928
16,-5.514,0.164,-2.983,-7.808,-5.463,9.74,10.264,2.516,3.552
17,-6.478,0.99,-2.912,-8.108,-5.913,9.755,8.936,2.226,1.176
18,-6.25,5.844,-2.183,-8.548,-5.538,9.769,7.566,2.159,0.822
19,-6.209,5.826,-3.503,-8.318,-5.163,9.784,7.188,2.201,0.7
20,-8.489,5.429,-3.597,-8.198,-4.213,9.798,7.211,2.267,0.712
21,-8.943,5.51,-2.93,-8.408,-3.263,9.813,7.16,2.143,0.837
22,-7.667,5.51,-3.321,-8.648,-2.463,9.828,7.07,2.238,0.655
23,-7.255,5.545,-3.406,-8.798,-1.663,9.842,7.07,2.14,0.699
24,-8.568,5.576,-3.975,-8.298,-1.613,11.055,6.964,2.28,0.716
25,-9.652,5.596,-3.942,-7.748,-1.563,13.871,6.95,2.47,0.89
26,-8.402,5.617,-3.344,-6.598,-1.088,17.646,6.92,3.417,1.16
27,-4.604,5.631,-2.939,-6.718,-0.613,18,7.04,5.013,5.081
28,-4.229,,-3.109,-5.798,0.558,17.975,8.127,7.3975,7.768
29,-1.779,,-2.74,-5.218,1.729,17.95,9.068,9.782,8.059
30,-0.833,,-1.48,-4.578,2.406,17.963,10.222,9.714,8.0345
31,-0.867,,-0.954,-1.498,2.706,17.976,11.436,9.646,8.01
32,2.853,,-0.458,1.281,2.534,17.976,12.9025,9.7715,7.9305
33,2.86,,-0.413,1.457,2.362,17.976,14.369,9.897,7.851
34,1.696,,0.015,1.633,2.337,18.0415,14.38,9.851,7.8675
35,1.861,,0.611,1.758,2.312,18.107,14.391,9.805,7.884
36,1.948,,1.147,1.883,2.3425,18.143,14.7295,9.827,7.839
37,1.935,,0.85,,2.373,18.179,15.068,9.849,7.794
38,1.923,,0.828,,2.3555,,15.06,9.804,7.9285
39,1.925,,1.041,,2.338,,15.052,9.759,8.063
40,1.927,,0.838,,2.3855,,15.092,9.7505,8.1055
41,1.895,,1.338,,2.433,,15.132,9.742,8.148
42,1.862,,1.653,,,,15.142,,
43,,,1.801,,,,15.152,,
44,,,1.984,,,,,,
45,,,2.1,,,,,,
46,,,2.223,,,,,,
47,,,2.4,,,,,,
48,,,2.691,,,,,,
49,,,2.94,,,,,,
50,,,3.201,,,,,,
51,,,3.471,,,,,,
52,,,3.743,,,,,,